CC(C)C(CO[*])NC(=O)CCCNC(=O)[*]
O=C([*])NCCCCO[*]
CCC(CO[*])COC(=O)[*]
CC(CCO[*])OC(=O)[*]
O=C([*])NCCNCCO[*]
O=C(CCO[*])CCOC(=O)[*]
O=C([*])OCCCO[*]
CCCC(CO[*])COC(=O)[*]
CCC(CC)(CNC(=O)[*])N[*]
CC(C)(CCOC(=O)[*])O[*]
CCC(CCN[*])OC(=O)[*]
CC(C)CC(CN[*])OC(=O)[*]
CCCCC(CO[*])OC(=O)[*]
O=C([*])OCCSCCO[*]
O=C([*])NCCC(F)CN[*]
CN(C)C(CO[*])COC(=O)[*]
CCC(C)C(OC(=O)[*])C(C)O[*]
CCC(CNCC(C)O[*])NC(=O)[*]
CCC(O[*])C(NC(=O)[*])C(=O)O
CC(CC(OC(=O)[*])C(C)C)O[*]
CC(C)(CO[*])C(C)(C)NC(=O)[*]
CSCC(CCOC(=O)[*])N[*]
C#CC(C)(O[*])C(CC)OC(=O)[*]
O=C([*])OCCC(O[*])C(F)(F)F
C=C(Cl)CC(COC(=O)[*])O[*]
COC(=O)C(CCNC(=O)[*])O[*]
C=CC(CNCCO[*])OC(=O)[*]
CCC(COC(=O)[*])NCCCO[*]
CN(C)CC(CN[*])CNC(=O)[*]
CCCC(C)(CO[*])COC(=O)[*]
CC(OC(=O)[*])C(O[*])C(=O)O
CCC(CC)C(CNC(=O)[*])O[*]
CC(C)CCC(COC(=O)[*])N[*]
CC(C)(C)C(OC(=O)[*])C(C)(C)O[*]
CCCN(CCO[*])CCOC(=O)[*]
CCC(CC)C(COC(=O)[*])N[*]
CC(C)(CCN[*])CCNC(=O)[*]
C=CCCNC(CO[*])COC(=O)[*]
CC(CO[*])CC(C)COC(=O)[*]
N#CNCC(COC(=O)[*])O[*]
COC(=O)N(CO[*])COC(=O)[*]
O=C([*])NCCCCCCCN[*]
CC(C)C(COC(=O)[*])NCCO[*]
O=CN(CCO[*])CCOC(=O)[*]
CC(CNCC(C)NC(=O)[*])N[*]
CC(COC(=O)[*])N(C)CCCO[*]
C=CC(COC(=O)[*])NCC(C=C)O[*]
N=CNC(=O)CC(CNC(=O)[*])O[*]
CC(CO[*])NC(=O)CCOC(=O)[*]
CCCC(N[*])C(OC(=O)[*])C(N)=O
C#CC(CO[*])NC(C)CCOC(=O)[*]
CC(CO[*])NC(=O)CCOC(=O)[*]
CC#CCNC(CO[*])COC(=O)[*]
C=CC(=O)NCC(COC(=O)[*])O[*]
O=C(CCF)NCC(CO[*])OC(=O)[*]
C=CCN(C)CC(OC(=O)[*])C(C)O[*]
CC(CN(C)C(=O)C(C)NC(=O)[*])N[*]
CN(CCCOC(=O)[*])C(=O)CN[*]
O=C(CNCCN[*])NCCOC(=O)[*]
CC(COC(=O)C(C)O[*])OC(=O)[*]
CC(CC(=O)NC(C)CNC(=O)[*])N[*]
CC(=O)NC(C)(CO[*])COC(=O)[*]
CCCC(OC(=O)[*])C(=O)OCCO[*]
CC(C#CCOCCO[*])OC(=O)[*]
CC(C)C(N[*])C(=O)NCCNC(=O)[*]
CC(NC(=O)[*])C(C)C(=O)NCCN[*]
CC(CO[*])COC(=O)COC(=O)[*]
CC(CNC(CO[*])C(=O)O)OC(=O)[*]
COC(=O)C(CNCCO[*])OC(=O)[*]
CC(C)(CNC(=O)[*])NC(=O)CN[*]
CC(C)(CCOC(=O)CO[*])OC(=O)[*]
CC(C)(NC(=O)[*])C(=O)NCCCO[*]
CC(COC(=O)[*])NC(=O)C(C)O[*]
C=CC(C)(CNCCCO[*])OC(=O)[*]
CC(C)(CNC(=O)CO[*])OC(=O)[*]
C#CCCCNC(CO[*])COC(=O)[*]
CC(OC(=O)[*])(C(N[*])C(=O)O)C(F)(F)F
CCN(CC(F)F)C(=O)C(CO[*])NC(=O)[*]
CCC(F)C(=O)N(C)CC(CO[*])OC(=O)[*]
NC(=O)C(CC(COC(=O)[*])O[*])C(N)=O
CN(CC(CNC(=O)[*])O[*])C(=O)C(C)(F)F
CC(NC(=O)[*])C(=O)NCC(=O)CCO[*]
O=C(CCOC(=O)[*])NCC(F)(F)CO[*]
O=C([*])NC(CCC(N[*])C(=O)O)C(=O)O
NC(=O)CCNC(=O)C(COC(=O)[*])N[*]
NC(=O)C(COC(=O)[*])NC(=O)CO[*]
CC(CNC(=O)C(CC(=O)O)NC(=O)[*])N[*]
CC(C)(NC(=O)[*])C(=O)NCC(F)(F)CN[*]
COCC(C)(O[*])C(=O)OCC(C)OC(=O)[*]
O=C([*])NCCNC(=O)C(N[*])C(F)(F)F
C=CC(O[*])C(=O)NCC(OC(=O)[*])C(N)=O
N=C(NCCNC(=O)[*])C(N)=NCCN[*]
CC(CO[*])(COC(=O)[*])C(=O)OCC(N)=O
CC(F)(F)C(=O)N(CCN[*])CCOC(=O)[*]
CC(C#N)C(=O)NC(CO[*])COC(=O)[*]
COCC(C)(O[*])C(=O)NOCCOC(=O)[*]
O=C([*])NCCS(=O)(=S)OCCN[*]
CS(=O)(=O)CCNC(CO[*])COC(=O)[*]
CCC(F)(F)C(=O)NC(CO[*])COC(=O)[*]
CC(CO[*])(COC(=O)[*])NC(=O)CC(=O)O
C=CCNC(=O)NC(CO[*])C(C)OC(=O)[*]
CN(CCN[*])C(=O)CNC(=O)CNC(=O)[*]
O=C(O)CC(O[*])C(NC(=O)[*])C(=O)O
NS(=O)(=O)NC(CO[*])COC(=O)[*]
C=CC(C)(CNC(COC(=O)[*])C(N)=O)O[*]
O=C(O)CCC(CN[*])(OC(=O)[*])C(F)F
C=CC(O[*])C(=O)NCC(C)(C)COC(=O)[*]
CC(CCNS(=O)(=O)CCNC(=O)[*])O[*]
C#CCC(COC(=O)[*])NC(=O)C(C=C)O[*]
CCC(COC(=O)[*])(N[*])NC(C)=CC=CN
C#CC(C)(NC(=O)[*])C(=O)NCC(CF)O[*]
CC=C(C)C(=O)NCC(OC(=O)[*])C(C)O[*]
CC=C(C)C=CC(=O)NCC(CO[*])OC(=O)[*]
C=C(C)C(=O)NC(CC)(CO[*])COC(=O)[*]
CC(C)C(C)(C#N)NCC(COC(=O)[*])O[*]
C#CC(C)(C)C(=O)NC(COC(=O)[*])C(C)O[*]
CCN(C(=O)C(CNC(=O)[*])O[*])C(C)C#N
CCC(CO[*])C(=O)NC(C#N)COC(=O)[*]
CC#CCN(C)CC(CC(C)(C)OC(=O)[*])O[*]
CC(C)C(OC(=O)[*])C(=O)NCC#CCO[*]
CC(C)C(C)(C#CC(C)(OC(=O)[*])C(C)C)O[*]
C#CCNC(=O)CC(CCCCN[*])NC(=O)[*]
CC#CC(=O)N(C)CC(C)(CO[*])COC(=O)[*]
C=C(CC)C(=O)NCC(OC(=O)[*])C(C)O[*]
C#CCC(CO[*])NC(=O)CCCCOC(=O)[*]
C#CCN(CC#N)CC(OC(=O)[*])C(C)O[*]
C=C(CO[*])C(=O)NOC(C)(C)COC(=O)[*]
C=CC(C)(OC(=O)[*])C(=O)NC(C#N)CO[*]
C=CC(OC(=O)[*])C(=O)NC(CC#CC)CO[*]
C=CC(CO[*])NC(=O)C(C)(CC)OC(=O)[*]
C#CCN(CC#CC)CC(CO[*])OC(=O)[*]
C=CC(C)(CC(=O)NC(C#N)CO[*])OC(=O)[*]
CC#CC(=O)NC(COC(=O)[*])C(CCC)O[*]
CC(C#N)N(C)C(=O)CC(CNC(=O)[*])O[*]
C=CCCC(COC(=O)[*])NC(=O)C(=C)CO[*]
C#CC(=O)NC(CO[*])C(CCC)OC(=O)[*]
CC(CN[*])C(=O)N(C)C(C)CNC(=O)[*]
CC(C)C(CCNC(=O)CO[*])OC(=O)[*]
C=C(F)C(=O)NCC(COC(=O)[*])O[*]
CC(CN(CCC#N)CCO[*])OC(=O)[*]
CC#CCN(C)CC(OC(=O)[*])C(C)O[*]
C=CC(COC(=O)[*])NCCC(C)(C)O[*]
CN(CCO[*])C(=O)C(C)(C)OC(=O)[*]
CC(C)C(=O)N(C)CC(COC(=O)[*])O[*]
CC(C)(O[*])C(=O)OCCCCOC(=O)[*]
CCN(CCCOC(=O)[*])C(=O)C(C)O[*]
CC(CC(=O)NC(C)CCN[*])NC(=O)[*]
CC(CC(=O)NC(C)CCO[*])NC(=O)[*]
C=CC(OC(=O)[*])C(=O)N(C)CCCO[*]
CCC(CCOC(=O)[*])CNC(=O)CO[*]
C=CC(OC(=O)[*])C(=O)OCCC(C)O[*]
CC(O[*])C(=O)NC(COC(=O)[*])C(C)C
C#CC(C)(C)NCC(CO[*])OC(=O)[*]
CC(CC(=O)NCCC(C)NC(=O)[*])N[*]
CC(O[*])C(NC(=O)[*])C(=O)OC(C)(C)C
CC(C)C(=O)N(C)CC(COC(=O)[*])O[*]
CC(COC(=O)[*])N(C)CC(CC#N)O[*]
COC(CN[*])C(=O)NC(C)CNC(=O)[*]
CN(CCCO[*])CC(CC#N)OC(=O)[*]
C=C(CC)C(=O)NC(CO[*])COC(=O)[*]
CCCC(CNC(=O)CCO[*])OC(=O)[*]
CN(CCNC(=O)[*])C(=O)C(C)(C)N[*]
CCC(N[*])C(=O)NCCCCNC(=O)[*]
CC(C)C(OC(=O)[*])C(=O)NOCCO[*]
CC(N[*])C(C)C(=O)NCCCOC(=O)[*]
CC(CCN[*])NC(=O)C(C)CNC(=O)[*]
CCSCC(C)NC(CO[*])COC(=O)[*]
CN(CCOC(=O)[*])CC(O[*])C(C)(C)C
O=C([*])OCCCCCCCCCCCO[*]
CCC(CNCCC(C)(C)CO[*])OC(=O)[*]
CCCC(C)NC(CC)(COC(=O)[*])N[*]
C=CCCC(CO[*])NCC(CC)OC(=O)[*]
CN(CCOCCOC(=O)[*])CC(C)(C)N[*]
CCC(C)N(CCCCOC(=O)[*])CCO[*]
CCC(CNC(CC)C(C)O[*])OC(=O)[*]
CCC(C)(CNCC(COC)OC(=O)[*])O[*]
CN(CCCN(C)CCOC(=O)[*])CCO[*]
CC(CN[*])NCC(CC(F)F)NC(=O)[*]
CCCN(CCOCCO[*])CCOC(=O)[*]
CC(NCCCCCCO[*])C(C)OC(=O)[*]
O=C([*])OCCCCN(CCO[*])CC(F)F
CC(NCCC(C)(C)O[*])C(C)OC(=O)[*]
CC(CCOC(=O)[*])NCCC(C)(C)O[*]
CCC(COC(=O)[*])NCCCCCCO[*]
CCCC(CNCC(F)(F)COC(=O)[*])O[*]
CC(CO[*])NC(C)C(C)(C)COC(=O)[*]
CCCCCC(CNCC(C)OC(=O)[*])O[*]
CC(C)NCC(CC(C)(C)O[*])OC(=O)[*]
CC(C)CCCN(CCO[*])CCOC(=O)[*]
O=C([*])NCCCCC(=O)NCCCCN[*]
CC(CCNC(C)CCCCOC(=O)[*])N[*]
CCC(CN(C)CC(C)(C)O[*])NC(=O)[*]
CC(C)CCC(C)NCC(CNC(=O)[*])O[*]
CC(CCNCC(C)(C)O[*])COC(=O)[*]
CN(CCCCCO[*])CC(C)(C)NC(=O)[*]
CC(C)C(C)N(C)CC(OC(=O)[*])C(C)O[*]
CC(CN[*])NC(=O)COCCNC(=O)[*]
COC(CNC(=O)[*])C(=O)NOCC(C)N[*]
COCC(CO[*])NCC(COC)OC(=O)[*]
CCOCCC(=O)NCC(CO[*])OC(=O)[*]
COCC(COC(=O)[*])NC(=O)CCO[*]
O=C(CCCF)NCC(CN[*])OC(=O)[*]
CCNC(=S)NC(C)(CO[*])COC(=O)[*]
CCCN(CC(=O)O)CC(COC(=O)[*])O[*]
COCCOC(=O)NCC(COC(=O)[*])O[*]
CCOCCC(=O)NC(CO[*])COC(=O)[*]
COCC(N[*])C(=O)N(C)C(C)CNC(=O)[*]
CN(CCCOC(=O)[*])C(=O)CNCCN[*]
CCCCCN(CCOC(=O)[*])C(=O)CO[*]
CNCCNC(=O)C(CCCNC(=O)[*])N[*]
CNC(=O)CN(C)CC(O[*])C(C)OC(=O)[*]
CCOCC(=O)NC(CO[*])COC(=O)[*]
CN(C)C(=O)CSCC(CO[*])OC(=O)[*]
NOCCNC(=O)C(CCCNC(=O)[*])N[*]
C=CCNC(=S)NC(CO[*])COC(=O)[*]
N=C(N)CCN(CCO[*])CCOC(=O)[*]
CC(CNC(=O)COCCN[*])NC(=O)[*]
CC(C)OCC(=O)NCC(CO[*])OC(=O)[*]
N=C(CO[*])NOCCOCCOC(=O)[*]
CCOC(=O)C(C)NC(CN[*])CNC(=O)[*]
CCC(NC(=O)[*])C(=O)NCC(COC)O[*]
N#CCCCN(CCCOC(=O)[*])CCO[*]
CC(CN(C)C(=O)NCCN[*])NC(=O)[*]
CC(OC(=O)[*])C(=O)OCCOCCO[*]
CN(CCF)CC(C)(CO[*])COC(=O)[*]
CCC(CNCC(F)(F)CO[*])OC(=O)[*]
