category,comment/name,DOI,units,temperature,cation1,cation1_conc,cation2,cation2_conc,cation3,cation3_conc,cation4,cation4_conc,anion1,anion1_conc,anion2,anion2_conc,anion3,anion3_conc,anion4,anion4_conc,solvent1,solvent1_ratio,solvent2,solvent2_ratio,solvent3,solvent3_ratio,solvent4,solvent4_ratio,solvent5,solvent5_ratio
,NaWISE2,10.1021/acsenergylett.7b00623,mass,300,Na+,10,,,,,,,F2NO4S2-,10,,,,,,,H2O,1,,,,,,,,
,NaWISE2-hightemp,10.1021/acsenergylett.7b00623,mass,370,Na+,10,,,,,,,F2NO4S2-,10,,,,,,,H2O,1,,,,,,,,
,NaWISE2-concentrated,10.1021/acsenergylett.7b00623,mass,300,Na+,30,,,,,,,F2NO4S2-,30,,,,,,,H2O,1,,,,,,,,
Mg,Mixed1,10.1016/j.xcrp.2020.100265,volume,300,Mg+2,0.5,,,,,,,Cl-,0.2,CF3O3S-,0.8,,,,,C4H10O2,1,,,,,,,,
,Mixed1-hightemp,10.1016/j.xcrp.2020.100265,volume,350,Mg+2,0.5,,,,,,,Cl-,0.2,CF3O3S-,0.8,,,,,C4H10O2,1,,,,,,,,
,Mixed1-diffconc,10.1016/j.xcrp.2020.100265,volume,300,Mg+2,1,,,,,,,Cl-,0.8,CF3O3S-,1.2,,,,,C4H10O2,1,,,,,,,,
,Mixed3,10.1039/C5CP00859J,volume,300,Mg+2,0.4,Al+3,0.4,,,,,Cl-,2,,,,,,,C4H10O2,1,,,,,,,,
,Mixed3-hightemp,10.1039/C5CP00859J,volume,370,Mg+2,0.4,Al+3,0.4,,,,,Cl-,2,,,,,,,C4H10O2,1,,,,,,,,
,Mixed4,10.1021/acsenergylett.9b02211,volume,300,Mg+2,0.5,,,,,,,C2F6NO4S2-,0.8,BH4-,0.2,,,,,C6H14O3,1,,,,,,,,
,Mixed4-hightemp,10.1021/acsenergylett.9b02211,volume,400,Mg+2,0.5,,,,,,,C2F6NO4S2-,0.8,BH4-,0.2,,,,,C6H14O3,1,,,,,,,,
,PF6,10.1021/jacs.6b04319,volume,300,Mg+2,0.7,,,,,,,F6P-,1.4,,,,,,,C2H3N,1,C4H8O,1,,,,,,
,F6P-hightemp,10.1021/jacs.6b04319,volume,350,Mg+2,0.7,,,,,,,F6P-,1.4,,,,,,,C2H3N,1,C4H8O,1,,,,,,
,F6P-2,10.1021/jacs.6b04319,volume,300,Mg+2,0.1,,,,,,,F6P-,0.2,,,,,,,C2H3N,1,,,,,,,,
,F6P-2-hightemp,10.1021/jacs.6b04319,volume,350,Mg+2,0.1,,,,,,,F6P-,0.2,,,,,,,C2H3N,1,,,,,,,,
,Mixed5,10.1149/2.0161513jes,volume,300,Mg+2,0.75,,,,,,,C2F6NO4S2-,0.5,Cl-,1,,,,,C2H6O,1,,,,,,,,
,Mixed5-hightemp,10.1149/2.0161513jes,volume,350,Mg+2,0.75,,,,,,,C2F6NO4S2-,0.5,Cl-,1,,,,,C2H6O,1,,,,,,,,
,IL,10.1149/1.2052048,number,300,Mg+2,1,C9H20N+piper,3.5,,,,,CF3O3S-,2,C2F6NO4S2-,3.5,,,,,,,,,,,,,,
,IL-hightemp,10.1149/1.2052048,number,400,Mg+2,1,C9H20N+piper,3.5,,,,,CF3O3S-,2,C2F6NO4S2-,3.5,,,,,,,,,,,,,,
,Moltensalt,10.1016/S0013-4686(96)00322-2,number,920,Mg+2,100,,,,,,,F-,44,Cl-,156,,,,,,,,,,,,,,
,Moltensalt-hightemp,10.1016/S0013-4686(96)00322-2,number,1050,Mg+2,100,,,,,,,F-,44,Cl-,156,,,,,,,,,,,,,,
,PC,10.1038/s41557-018-0019-6,volume,300,Mg+2,0.5,,,,,,,C2F6NO4S2-,1,,,,,,,C4H6O3,1,,,,,,,,
,PC-hightemp,10.1038/s41557-018-0019-6,volume,450,Mg+2,0.5,,,,,,,C2F6NO4S2-,1,,,,,,,C4H6O3,1,,,,,,,,
,Amine,10.1126/science.abg3954,volume,300,Mg+2,0.5,,,,,,,C2F6NO4S2-,1,,,,,,,C6H14O3,3,C4H11NO,1,,,,,,
,Amine-hightemp,10.1126/science.abg3954,volume,400,Mg+2,0.5,,,,,,,C2F6NO4S2-,1,,,,,,,C6H14O3,3,C4H11NO,1,,,,,,
,Aqueous1,10.1021/acscentsci.7b00361,mass,300,Mg+2,5,,,,,,,C2F6NO4S2-,10,,,,,,,H2O,1,,,,,,,,
,Aqueous1-hightemp,10.1021/acscentsci.7b00361,mass,350,Mg+2,5,,,,,,,C2F6NO4S2-,10,,,,,,,H2O,1,,,,,,,,
,Aqueous2,10.1021/acsenergylett.7b00040,volume,300,Mg+2,1,,,,,,,O4S-2,1,,,,,,,H2O,1,,,,,,,,
,Aqueous2-hightemp,10.1021/acsenergylett.7b00040,volume,350,Mg+2,1,,,,,,,O4S-2,1,,,,,,,H2O,1,,,,,,,,
,Aqueous-mixed,10.1021/acsenergylett.8b01105,volume,300,Mg+2,0.5,Mn+2,0.1,Zn+2,0.5,,,O4S-2,1.1,,,,,,,H2O,1,,,,,,,,
,Aqueous-mixed-hightemp,10.1021/acsenergylett.8b01105,volume,350,Mg+2,0.5,Mn+2,0.1,Zn+2,0.5,,,O4S-2,1.1,,,,,,,H2O,1,,,,,,,,
,Water-ethanol-1,10.1021/je60052a029,volume,300,Mg+2,0.75,,,,,,,O4S-2,0.75,,,,,,,H2O,10,C2H6O,1,,,,,,
,Water-ethanol-1-hightemp,10.1021/je60052a029,volume,350,Mg+2,0.75,,,,,,,O4S-2,0.75,,,,,,,H2O,10,C2H6O,1,,,,,,
,Water-ethanol-2,10.1021/je60052a029,volume,300,Mg+2,0.75,,,,,,,Cl-,1.5,,,,,,,H2O,10,C2H6O,1,,,,,,
,Water-ethanol-2-hightemp,10.1021/je60052a029,volume,350,Mg+2,0.75,,,,,,,Cl-,1.5,,,,,,,H2O,10,C2H6O,1,,,,,,
Ca,ECPC1,10.1038/nmat4462,volume,330,Ca+2,0.3,,,,,,,ClO4-,0.6,,,,,,,C3H4O3,1,C4H6O3,1,,,,,,
,ECPC1-hightemp,10.1038/nmat4462,volume,500,Ca+2,0.3,,,,,,,ClO4-,0.6,,,,,,,C3H4O3,1,C4H6O3,1,,,,,,
,ECPC2,10.1038/nmat4462,volume,330,Ca+2,0.3,,,,,,,BF4-,0.6,,,,,,,C3H4O3,1,C4H6O3,1,,,,,,
,ECPC2-hightemp,10.1038/nmat4462,volume,500,Ca+2,0.3,,,,,,,BF4-,0.6,,,,,,,C3H4O3,1,C4H6O3,1,,,,,,
,ECPC2-concentrated,10.1038/nmat4462,volume,330,Ca+2,0.8,,,,,,,BF4-,1.6,,,,,,,C3H4O3,1,C4H6O3,1,,,,,,
,ECPC3,10.1038/nmat4462,volume,330,Ca+2,0.3,,,,,,,C2F6NO4S2-,0.6,,,,,,,C3H4O3,1,C4H6O3,1,,,,,,
,ECPC3-hightemp,10.1038/nmat4462,volume,500,Ca+2,0.3,,,,,,,C2F6NO4S2-,0.6,,,,,,,C3H4O3,1,C4H6O3,1,,,,,,
,RT1,10.1038/nmat5036,volume,300,Ca+2,1.5,,,,,,,BH4-,3,,,,,,,C4H8O,1,,,,,,,,
,RT1-hightemp,10.1038/nmat5036,volume,350,Ca+2,1.5,,,,,,,BH4-,3,,,,,,,C4H8O,1,,,,,,,,
,aprotic1,10.1149/1.2085455,volume,300,Ca+2,0.5,,,,,,,ClO4-,1,,,,,,,C4H6O2,1,,,,,,,,
,aprotic1-hightemp,10.1149/1.2085455,volume,450,Ca+2,0.5,,,,,,,ClO4-,1,,,,,,,C4H6O2,1,,,,,,,,
,aprotic2,10.1149/1.2085455,volume,300,Ca+2,0.5,,,,,,,ClO4-,1,,,,,,,C2H3N,1,,,,,,,,
,aprotic2-hightemp,10.1149/1.2085455,volume,350,Ca+2,0.5,,,,,,,ClO4-,1,,,,,,,C2H3N,1,,,,,,,,
,highconc1,10.1002/ange.202116668,mass,300,Ca+2,3.5,,,,,,,F2NO4S2-,7,,,,,,,C3H4O3,2,C4H6O3,2,C3H6O3,3,C4H8O3,3,,
,highconc1-hightemp,10.1002/ange.202116668,mass,370,Ca+2,3.5,,,,,,,F2NO4S2-,7,,,,,,,C3H4O3,2,C4H6O3,2,C3H6O3,3,C4H8O3,3,,
,highconc2,10.1002/ange.202116668,mass,300,Ca+2,1.8,,,,,,,F2NO4S2-,3.6,,,,,,,C3H4O3,2,C4H6O3,2,C3H6O3,3,C4H8O3,3,,
